attempt_num,features                           ,epochs_run,final_loss         ,final_val_loss     ,final_mae         ,final_val_mae     
5          ," length avg SOG draught cpa"      ,25        ,0.4045584999024868 ,0.4012513092408578 ,6.03638637832785  ,5.983589548194296 
6          ," length avg SOG draught cpa"      ,18        ,0.4001027466921971 ,0.3988777496691408 ,5.9810487059231665,5.96228136267955  
7          ," length month avg SOG draught cpa",17        ,0.40119837245036816,0.40174910939972974,5.99299534297858  ,6.005412920043917 
7          ," length month avg SOG draught cpa",11        ,0.4029256221035431 ,0.39707582623794163,6.010119727650875 ,5.916348185340017 
8          ," length month avg SOG draught cpa",14        ,0.40497575289216536,0.4137460671622178 ,6.028421654180148 ,6.16167393270089  
9          ," length month avg SOG draught cpa",37        ,0.4000825894290003 ,0.4108695778353461 ,6.007859302387385 ,6.169878625256652 
10         ," length month avg SOG draught cpa",13        ,0.4007180591081751 ,0.40945291210865153,5.977244590639724 ,6.11031670994735  
11         ," length month avg SOG draught cpa",13        ,0.40344077739222295,0.40777307646027927,6.0249477218986565,6.090213201093034 
12         ," length month avg SOG draught cpa",17        ,0.40381051754129343,0.39708784017069587,6.009622861492531 ,5.908477366563612 
13         ," length month avg SOG draught cpa",16        ,0.4027461301663826 ,0.4116694233540831 ,6.010211257949915 ,6.14138185833939  
14         ," length month avg SOG draught cpa",15        ,0.40217687857562096,0.40233036413274964,6.010047108449084 ,6.01240888606387  
15         ," length month avg SOG draught cpa",13        ,0.4062339073625104 ,0.4020741083498659 ,6.04291120990096  ,5.982323834582389 
16         ," length month avg SOG draught cpa",17        ,0.40339192686409786,0.39882254394991645,5.996423052900331 ,5.9287863993792485
17         ," length month avg SOG draught cpa",20        ,0.4019081882361708 ,0.40092272722515565,5.998467674940022 ,5.976061605161871 
18         ," length month avg SOG draught cpa",21        ,0.4047576240424452 ,0.3928349942996584 ,6.020963551592094 ,5.840102699750179 
19         ," length month avg SOG draught cpa",19        ,0.40202178559426605,0.3915334580273464 ,6.017555716218615 ,5.8595887786852625
20         ," length month avg SOG draught cpa",44        ,0.3979836881160736 ,0.40751130878925323,5.955697731635139 ,6.100143396438399 
21         ," length month avg SOG draught cpa",18        ,0.4062873415905854 ,0.39585903698000413,6.02561126263304  ,5.8719740274333345
22         ," length month avg SOG draught cpa",38        ,0.39944811103672817,0.40661237620074175,6.003899994265517 ,6.109764631671215 
23         ," length month avg SOG draught cpa",16        ,0.40326191649354737,0.393770349950626  ,6.012080618932089 ,5.867102495441916 
24         ," length month avg SOG draught cpa",18        ,0.4033650698332951 ,0.40404697841611403,6.031435064225602 ,6.045252373831381 
25         ," length month avg SOG draught cpa",17        ,0.4030091396693526 ,0.4005566979276723 ,6.011239832627196 ,5.972696066023909 
26         ," length month avg SOG draught cpa",41        ,0.4014896243810654 ,0.4070976314873531 ,6.018560830985979 ,6.099703849487302 
27         ," length month avg SOG draught cpa",17        ,0.39998087492482415,0.4050011033641881 ,6.003161216096016 ,6.085614573346555 
28         ," length month avg SOG draught cpa",16        ,0.4028468980871398 ,0.40894696321980706,6.003716428652398 ,6.093006099752613 
29         ," length month avg SOG draught cpa",21        ,0.4013672842033978 ,0.39785872219965374,6.018674966224081 ,5.962900239001084 
30         ," length month avg SOG draught cpa",9         ,0.4030398776305133 ,0.40611764326177796,6.032930199255658 ,6.07386052598372  
31         ," length month avg SOG draught cpa",19        ,0.40393623658295336,0.3943768976063564 ,6.017576480672033 ,5.8713717111924195
32         ," length month avg SOG draught cpa",37        ,0.402015292027901  ,0.3967582696470721 ,6.023595181297803 ,5.945673324017649 
33         ," length month avg SOG draught cpa",12        ,0.40415543883011257,0.4144536416078436 ,6.015246852412871 ,6.168663052825191 
34         ," length month avg SOG draught cpa",13        ,0.4065988261124183 ,0.41207308039583007,6.060230504638346 ,6.13848160108166  
35         ," length month avg SOG draught cpa",17        ,0.4055710096811426 ,0.4188262116292427 ,6.015618988436236 ,6.215328722613024 
36         ," length month avg SOG draught cpa",23        ,0.4022993126819874 ,0.4060417603829811 ,5.973613074052945 ,6.0305816991237196
37         ," length month avg SOG draught cpa",12        ,0.4035159554974786 ,0.4056915830949257 ,6.007107270024566 ,6.0414424888736615
38         ," length month avg SOG draught cpa",38        ,0.40006232939917463,0.40205359664456597,5.971671483662141 ,6.00264196870066  
39         ," length month avg SOG draught cpa",14        ,0.4056160316898905 ,0.417762933106258  ,6.0343241204458264,6.213486073494422 
40         ," length month avg SOG draught cpa",12        ,0.40532298889653434,0.41248888085628377,5.999067663453839 ,6.114484505929499 
41         ," length month avg SOG draught cpa",21        ,0.40017111106165526,0.39673920952040576,5.9835808721809265,5.933195150050351 
42         ," length month avg SOG draught cpa",15        ,0.39938169933598616,0.39156054114473277,5.956231916198698 ,5.8336995686814594
43         ," length month avg SOG draught cpa",17        ,0.40377148225389675,0.39241060717352505,6.003611819444386 ,5.835634652713423 
44         ," length month avg SOG draught cpa",16        ,0.40330870464957996,0.40024155275575046,5.998744814201876 ,5.951971419312255 
45         ," length month avg SOG draught cpa",20        ,0.4043085835103331 ,0.4087704399536396 ,6.033817835511799 ,6.0988095990050315
46         ," length month avg SOG draught cpa",18        ,0.40096299812711517,0.3903838385795725 ,6.004061010711864 ,5.8449643091766355
47         ," length month avg SOG draught cpa",20        ,0.4054783070909566 ,0.40169298391917657,6.025440788186541 ,5.969004638963383 
48         ," length month avg SOG draught cpa",8         ,0.40528635752612147,0.4086432205191974 ,6.033546619144804 ,6.084645827016789 
