attempt_num,features,epochs_run,final_loss,final_val_loss,final_mae,final_val_mae,%_under_std_dev27," length month avg SOG draught cpa",42,0.8076438384837118,0.9480298069016687,12.139143447479281,14.255758002068065,-94.78066335053035
60," length month avg SOG draught cpa",49,0.4091017033519416,0.39847162776979905,6.11927456992401,5.952598465355279,18.667875985756083
